Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2016-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.6706168505,0.8604407704,1.8233737636,1.4701750105,1.5670940171,2.5203594119,5.727991713,9.1080610303,15.6719323794,19.559006018,7.0682127614,6.4121921071,5.5655680381,4.8553816277,6.2492025344,10.2194995163,5.7804304835,6.6318585079,6.9691098882,5.769237311,2.034295387,1.5246308244,4.2546773024,1.2410753701,2.1937394374,3.792832806,3.8597012615,4.3321939386,4.5736352298,4.6157793664,4.85726747,4.6416234058,4.5668411262,4.6920053031,4.6836213373,4.7212980439,4.593864332,4.670561524,4.4969005202,4.5812785208,4.4392386153,4.3648128451,4.5362114207,4.8044843271,4.9809956191,4.9743111488,5.0962895516,5.5615246987,5.6283186878,5.9062920046,6.0112686713,5.823804338,5.8873569929,5.8274267934,,,
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.5829366426,8.6415690165,8.8356880469,9.2264399087,9.7590734306,10.6223213909,10.3280924384,10.9556247987,11.2101677076,11.6005543505,11.8028905413,11.8091175698,11.951631555,12.779686846,12.5596687313,12.6598998057,12.4167917765,13.2318961387,14.0698586154,14.1290919802,15.0249160087,15.4325008374,15.4249318092,14.6400841304,15.2209752959,15.3084102043,14.9805731534,15.7469578022,15.7961677817,16.5198629151,15.4528816708,15.1279662115,15.3177685053,15.7014518028,15.5765862784,15.5965188136,16.5018003932,16.5142732084,16.9356958474,17.1902976857,17.2006098261,16.7333674342,17.3704517744,16.9019589453,17.0265153472,17.1697114461,17.6513983061,17.8652600396,18.1608756565,18.200181959,16.9209536691,16.8626009533,16.519385783,16.3473020462,,,
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.373318828,4.496361641,4.7553616731,5.1551937474,5.3910039881,5.2521965333,5.3617246826,5.4177367271,5.7111101042,6.0063251784,6.7888073072,6.953651912,7.4485168144,7.9308669853,7.5626972783,7.1768448547,7.7212500124,7.4280632839,7.601371804,8.1588464022,6.9284789997,7.4161606139,7.1121249409,6.8743732734,7.2142786672,7.2307663531,7.1443048516,7.6234198146,7.0320306983,7.1024489974,7.5132461562,7.9440961839,7.2262364284,7.2230173093,7.189264701,7.521516107,7.9380082993,7.8636679957,7.9810042612,7.7411306148,7.7554934953,8.1727074604,8.2791518193,8.8683408068,8.8363759712,9.0201695976,8.7272978716,8.4050927932,8.2867233247,7.5556702048,8.1105930073,7.7765381583,7.3840322012,7.3600557824,,,
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6186370902,6.4645858572,5.5253585626,4.3374144437,4.0264727554,3.803022741,4.0029756098,3.5798353951,3.6662710285,3.5471054838,3.6239443462,3.7181699275,3.8632296394,4.0918019269,4.6162998627,3.5553401,4.0513834813,3.5656682176,3.3882258791,3.6461798772,3.8248771701,3.785068836,,,
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,0.0152025731,0.016154716,0.0158272512,0.0119095794,0.0151150377,0.014735443,0.0165811809,0.0216154148,0.0180320979,0.0209089253,0.0206746755,0.020469155,0.0252976597,0.0209429395,0.0235020413,0.025881431,0.026207124,0.0273729779,0.0355454831,0.0371917834,0.0361726513,0.0457699383,0.0475758317,0.0483888805,0.0490277486,0.0524002654,0.0485771378,0.0551279454,0.0522630734,0.0585759456,0.0522512562,0.0542140145,0.0544008428,0.0517221427,0.0503723505,0.047405324,0.0450496935,0.0431821637,0.0428092027,0.0295610015,0.0297050888,0.0218002044,0.0258454714,0.019411377,0.022756803,0.0219643299,0.0216151021,0.0208676369,0.0224800095,0.024720967,0.0278884875,0.0280299206,,,
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.9415940741,10.1038719949,10.6411896304,11.3869287399,11.0536547171,11.1416555549,11.042019428,11.2172567535,12.3256871263,12.8154496066,13.0101788101,12.5634251758,13.4726952569,14.2554864028,13.8369655456,12.4583038967,13.241679786,12.8754387175,13.8070579359,14.2392338153,13.7232962737,12.5795550697,11.9266847823,10.3120794235,10.6969663854,10.5974402504,10.4315417139,10.4471727823,10.1351438506,10.8135149421,10.639671673,11.0909998775,11.1464825143,10.6750345457,11.1051094038,11.0811520507,11.6238342475,11.3288520215,11.601914553,11.1730267457,11.2296676991,11.1337155145,10.3854951013,10.8821141749,10.661290222,10.3553929875,10.1510389973,9.7447771911,9.7519848089,9.2862975968,9.8894293524,8.9536221151,8.2848378801,8.3716392748,,,
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0663541178,0.052045781,0.0542015283,0.0475796543,0.0552950438,0.0571149083,0.0423949292,0.0523195961,0.0552308349,0.0708498967,0.0971050314,0.0987099004,0.1278919488,0.1226234488,0.1278162954,0.1359830142,0.0778230226,0.0865397222,0.1030386544,0.1013400823,0.139064998,0.112249052,0.1249894756,0.1124025796,0.120649102,0.1736308223,0.155337358,0.1185730035,0.1181798682,0.1304161911,0.1415102281,0.158495714,0.1670467176,0.2029770243,0.2186210534,0.2217724434,0.2048332032,0.1913828633,0.1854087372,0.2317549271,0.2300658794,0.2529878071,0.280412783,0.3071108751,0.3165836909,0.2926478931,0.4586075066,0.5162987387,0.4916017953,0.5043573291,0.5352159951,0.5425848092,0.5484194101,0.561654398,,,
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0091118965,0.0187299089,0.0170031198,0.0175042136,0.0215752756,0.0198412752,0.0195336585,0.0192168474,0.0188949658,0.0218898761,0.025426355,0.0262689226,0.0276984143,0.0284431953,0.0339984278,0.0357491728,0.0333149135,0.0389683474,0.0533416937,0.0610098628,0.063420218,0.0797954749,0.0804272717,0.0809237878,0.0618369289,0.061686779,0.0605719048,0.0635186944,0.0662633704,0.0957371508,0.0661730583,0.0692873773,0.0678408229,0.0656434203,0.0657450564,0.0621471463,0.0682294449,0.0756381553,0.0785611901,0.0825504457,0.0897168353,0.0835101903,0.0817475639,0.0852143872,0.0847224206,0.0838753506,0.0983401636,0.1154292463,0.1303854488,0.1274249868,0.1255013253,0.1372832592,0.1584755973,0.1790083604,,,
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,0.0519295298,0.0663343338,0.0667367289,0.0683504645,0.0763767622,0.0776528272,0.0782023891,0.0840043902,0.0938786746,0.0948775198,0.1001431519,0.0933995111,0.1007458298,0.1100314678,0.1199680405,0.1208643321,0.1344111763,0.1301174923,0.1465649403,0.1469034758,0.1599124816,0.1534457668,0.1636509693,0.1926581442,0.1986149452,0.2028252165,0.1906020883,0.1960157247,0.2122870439,0.2426190159,0.2474304194,0.2573775701,0.2677015087,0.2762116267,0.3006226669,0.3029303228,0.3342912533,0.3590535728,0.3956825965,0.4143988683,0.4346339669,0.4387359656,,,
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.8339011213,3.2699200742,3.8358918181,4.2597809274,5.2629879155,5.6456519418,5.9054367147,6.6383691611,7.1122144025,7.8699328162,7.2134243721,7.5325526759,7.7156567011,7.9835502212,8.210958036,8.3778774788,8.3479461727,8.6287664625,9.2365295474,8.9681320063,8.7442386675,9.0364315305,10.107275314,10.1083366202,9.7499614706,9.9927834763,10.2172999377,10.2141340013,9.7188434913,9.7712618672,8.6902243089,6.7393977805,6.3767647788,8.0353328542,6.4362354832,6.9003263952,6.7632410384,6.2098495826,5.9343252932,5.3567180765,5.3280343425,5.7920103059,5.6726066624,6.0468616769,6.0147735023,6.1908666779,6.3632929905,6.925435282,6.7720875412,5.731193724,5.9653960416,6.714881535,6.1420431028,5.4456485548,,,
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.5428643516,10.5473964412,9.1936085774,6.7141557333,8.747480495,6.557022226,3.3843582818,5.1210124208,5.4926624634,6.1629058115,12.1658595414,13.7673589725,16.0359774901,23.0238555824,21.4372151869,21.5741471243,23.1639709276,24.6332196705,24.0075484296,23.724381543,21.9162911015,22.7885733378,25.4918020469,20.7562372776,22.6112891462,24.3053227633,25.4033015984,25.4569971982,26.1447204101,24.3970747787,25.058198103,23.3048558434,20.8551558303,27.3334882731,26.9306820893,26.2862487361,26.9402178131,28.9699833064,29.7784222738,28.1159705666,27.956644248,20.0423173064,21.6421070771,21.6236936955,21.6709942833,22.1539052426,20.0147585905,26.0012907085,26.5384794632,22.8150695119,23.1011996172,22.4847023079,21.8109970403,23.6825741593,,,
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.7498310903,4.7466987525,5.9964321994,5.5581987104,8.118596528,9.3999457333,7.4660845563,11.1735044919,10.286990399,10.62704414,15.2001346276,38.7227708536,36.4959739997,43.3803095504,39.919636731,43.7014485234,33.5134962806,49.2981361418,32.7919269916,33.6376299518,37.9302810216,13.0062022989,10.2714288957,8.9564136155,8.0668388286,6.437609722,5.9038313567,5.8457214934,6.2208776295,7.7313414465,7.6104362209,6.8251473477,6.737845363,6.2747330961,6.1138153626,6.0080206746,5.879253115,4.7535753115,5.7902528495,5.7083747769,5.6009916379,5.1774307411,5.1001390821,4.8079314156,5.343508847,5.2903934176,4.9577517637,4.9392039362,4.2920017098,4.6305203225,6.829321287,5.1998440189,5.1501149339,8.2299591627,,,
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4997543691,3.043460696,0.8092234065,0.8838358581,1.1172340984,2.2209517817,2.8056803971,2.7422154541,3.6352131548,3.5166941378,3.7552512941,3.7954228537,4.0802251095,4.2272056727,4.5759832476,4.5966189097,5.2487368315,5.3948222544,5.5474583457,6.2330129869,5.8140684183,5.7294282539,,,
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5569315779,7.4976701826,6.3612248949,5.9616628409,5.9216997047,5.8867003064,5.7701805542,5.5916725461,5.3760675662,5.3143428687,5.3122247339,5.4640059202,5.9772476876,6.1230513298,6.463068409,6.3309450837,6.6231531276,6.3808962869,6.6025320337,6.7196720152,6.6803409763,6.7366501162,,,
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.4779510796,0.38721872,0.7154093378,0.6223568876,0.8182885418,0.7947625823,0.7377999707,1.0737539818,0.8846727152,1.1376739896,0.9904402557,1.1460109622,1.2401374776,1.1344687302,1.1729395458,1.3208365538,1.3024233231,1.44548182,1.5568100049,1.4791731537,1.322807334,1.2424948836,1.13763218,1.1060775253,1.0748836861,1.156249242,1.2110160995,1.3041887039,1.3928557464,1.6389273451,1.6619124296,1.8802471655,1.8304712306,1.9112972193,1.8546098236,1.8249775321,1.4415792282,1.7540070756,1.6082704775,1.4574477877,1.6754989649,1.6106734016,1.3985400569,1.4306548459,1.4344712679,1.4627663893,1.4882356381,1.536093806,1.2576061927,1.3783738154,1.6761004823,1.8157160085,1.4266914558,1.5022008001,,,
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.5513738739,3.8684835165,3.3837124464,3.1519287212,4.1244376278,3.5864870259,3.9546078431,4.0901153846,4.220509434,3.667,4.1337090909,4.2311538462,4.6683210332,7.9065427509,8.3091198502,8.6485849057,8.8228571429,8.5151310861,7.9360447761,8.5881412639,7.9819462228,7.0608900999,7.1423470216,8.0643840515,7.8639384648,7.9271854898,7.3490815935,9.8887102629,11.0612713593,13.2742645434,10.0133836766,8.3876078006,6.8840344739,7.9054320149,7.7889750506,7.4879322465,7.5622079196,7.4555928393,7.2806885122,7.6589051154,7.531722543,7.4508671445,7.8688485504,7.4121752862,7.1337935362,6.1732082177,8.0702075229,11.2460393293,9.9437592879,6.9277225913,8.7840427492,6.1340065671,6.8475415908,5.5850371533,,,
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.272037723,0.2766212948,0.286626494,0.3101594344,0.3712156919,0.3711511108,0.4070848479,0.4465696795,0.5037383796,0.5774366139,0.5517866631,0.6655539847,0.7602361811,0.7206364059,0.7173661558,0.810373151,0.8945766395,0.8561999527,0.9396553851,0.8662749037,0.8351428338,0.8391292594,0.7453167731,0.7198686837,0.6640431623,0.664145932,0.5959409539,0.6233870958,0.6535513736,0.7428855908,0.7979824528,0.8212377196,0.922958891,1.1080919747,1.2045616418,1.2503257688,1.2976544698,1.4009484351,1.4272789919,1.3739973676,1.225922572,1.156244814,1.1056077403,1.60366373,1.4589914516,1.3353315278,1.6219048199,1.3061636934,1.3789568575,1.4335375695,1.5328701802,1.6020460124,1.8355124379,1.894511704,,,
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.6470677923,0.6586247576,0.6972807432,0.7007493141,0.694000898,0.6703722704,0.7434478486,0.7449665309,0.848797467,0.9009420195,0.9768610831,1.0430220361,1.1340514615,1.2820560591,1.3553307224,1.3941063448,1.3968305394,1.4322951336,1.5182540736,1.5780138541,1.5310210078,1.3732705557,1.3445549001,1.2718619261,1.2602163764,1.3245654805,1.424006917,1.4569915127,1.4423907886,1.4480502391,1.3889395742,1.4343128382,1.4204346547,1.4621088342,1.5110023987,1.5873392417,1.7227916007,1.790103371,1.831430313,1.8490755688,1.865808376,1.8912387362,1.8352662792,1.751490659,1.8151334818,1.8426904947,1.8231330723,1.8840344708,1.9902030139,1.8665223755,2.1134145448,2.1913935638,2.32225814,2.4658702352,,,
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.7463127993,0.8388986248,1.1194106215,0.8163296759,0.7660852622,0.87245351,1.1340772656,1.4257628265,1.85515116,2.019145815,1.796292187,2.016530716,2.0807526476,1.9770228002,2.0094054527,2.3101982254,2.1488296342,2.3730811745,2.522542844,2.3942892633,2.6754005797,2.7095345345,2.5425550355,2.6942577058,2.931358373,3.3098124871,3.5707608535,3.6583310366,3.6595673903,3.8160521711,4.1264911243,4.6174157325,3.7343583132,4.2371954951,2.8334299188,3.1277768133,3.1990072949,3.3792930352,4.2561718835,4.4998884427,4.4030418251,4.5111716158,4.5250093009,4.6601680006,4.739998755,4.9381708167,4.9863947062,4.9397220392,5.8446676162,5.8073409321,5.2860540981,5.4494943015,5.2221997301,5.1272552858,,,
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.0781790406,3.5520090562,4.133421872,3.7981740523,3.4822889118,3.2547866374,4.5730851559,3.9052183174,3.6305087327,3.9371220989,63.2889562087,55.390300333,66.702811698,67.4125497241,53.0117167007,44.0362004739,36.0160984679,36.7910899405,52.9035967553,39.8335153598,35.6524705139,7.3842348947,10.2108982205,12.8298843709,8.8423370049,11.6397562867,10.0219206863,14.0632045089,23.5503728115,25.4169449583,24.105188391,20.0851701246,19.1716356176,17.7636146534,16.3304954718,16.2336937731,16.1011476315,16.3374506854,16.6296244868,12.0718873914,14.255144394,13.3701887419,12.750771005,13.1340067571,14.0515068878,13.8314648967,13.2077740052,22.4744631589,23.9500112924,20.3111708174,20.8569470788,24.2726696925,23.8008838209,18.918736133,,,
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,0.0125816158,0.0121563518,0.0117264448,0.0113016812,0.0108917449,0.0105027696,0.0101336974,0.0195677173,0.0283727636,0.0549530693,0.0533302954,0.0605562331,0.0759763804,0.0659548685,0.1125500126,0.1329161425,0.1136112494,0.2049617528,0.2127573163,0.1177798687,0.2396709648,0.3497750048,0.4096935152,0.3533797054,0.4159043533,0.4899930634,0.5868608466,0.7532274815,0.7148335726,0.702122771,0.7019587477,0.6629573129,0.6985683992,0.6126795291,0.4856685613,0.6081979474,0.5883299346,0.5757677143,0.6067785148,0.5491459814,0.677145031,1.0015759731,1.0995413541,1.1710888811,,,
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,0.0297423197,0.0670929733,0.1110492825,0.2275065722,0.6957276368,0.8797895455,0.9015536578,0.9820281223,0.9900555137,0.9761410859,1.0281673555,0.9307417648,0.9129731741,0.9795678909,0.873475445,0.9831255156,1.0012983647,1.0674101535,1.9586545723,1.8566134168,1.903235503,2.1312435182,1.9703333366,1.9331944419,1.7108436575,1.7022175829,1.9928979668,1.8502769895,2.1770832194,2.1845573213,2.2268748825,2.114597683,2.123394253,2.1974422788,2.182011541,2.1921104665,2.2901676232,1.9566229178,2.3422030431,2.1057507611,2.0855331575,2.4918300398,,,
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0585353784,0.0575505696,0.0471138132,0.0462489713,0.0453692047,0.0533760303,0.0501172399,0.0533441408,0.1044574593,0.1043534302,0.1142986039,0.098323803,0.0887472102,0.0832814162,0.0575297778,0.0508957415,0.0622564941,0.0608726832,0.0679437699,0.0463781366,0.0467627782,0.0579760616,0.0592998363,0.0590103417,0.0587652906,0.0614091978,0.0599514289,0.0946352506,0.082222072,0.0868532099,0.067402765,0.0682017304,0.0700366218,0.0705448511,0.0721296199,0.0703534942,0.0686791938,0.0702387997,0.0697103853,0.0722698046,0.0718431432,0.0647456951,0.063653562,0.0598191214,0.0588500803,0.0578675257,0.0604190049,0.0602134074,0.0591119298,0.058012946,0.0593983361,0.0615091517,0.0635047083,0.0630539808,,,
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.770847287,10.627897652,11.1306274847,11.1321024046,12.305370401,12.8140014737,12.9349181464,13.8103545953,14.6326451986,14.6186486114,16.0141487526,16.2900902657,17.3294250049,17.0599518324,17.1234430605,17.1116133397,16.979248448,17.1521166583,17.3030650691,18.2093278,18.0227689586,17.2692136948,16.4594492501,16.0546491986,16.5588548362,16.270103847,15.4576840559,16.2466745763,16.9568242796,16.9207827897,15.6590703825,15.1492597425,15.4670639631,15.4570633858,15.6965288017,15.9332236833,16.1573715536,16.5168590599,16.7435327411,16.9008648096,17.3704516131,16.9850295188,16.5593778458,17.4638617565,17.2636102203,17.0759724561,16.5112643479,16.4464551856,16.2151642556,14.8373146453,14.4856386101,14.4813419589,13.8584553358,13.5322948481,,,
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.1184371859,5.3451331491,5.6739869902,6.0812707132,6.4721633518,6.6225572439,6.7835853141,6.9921323799,7.4019417668,7.8972777293,8.1740703636,8.3792989014,8.6866258594,8.9821278662,9.1982798669,9.7270042127,10.213237039,10.5467805966,11.0146008682,11.0655062105,11.294490517,10.5438148393,10.7547778083,10.7994095747,10.7335424205,10.8771180481,11.0239318222,11.2831152474,10.857492821,10.5365656881,8.8555001443,8.2479263671,7.8573450273,7.7985008666,7.3258293774,7.5537789559,7.6937215274,7.506591435,7.0950425478,6.6950907361,6.6071982477,6.8224409727,6.7560035816,6.995311865,6.9208029008,6.975240435,7.2380125457,7.2667781917,7.1439165123,6.5076752139,6.8222521008,6.8669191166,6.5087419081,6.3463232533,,,
